"Player_match_SK";"PlayerMatch_key";"Match_Id";"Player_Id";"Player_Name";"DOB";"Batting_hand";"Bowling_skill";"Country_Name";"Role_Desc";"Player_team";"Opposit_Team";"Season_year";"is_manofThematch";"Age_As_on_match";"IsPlayers_Team_won";"Batting_Status";"Bowling_Status";"Player_Captain";"Opposit_captain";"Player_keeper";"Opposit_keeper"
"-1";"-1";"-1";"-1";"N/A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"12694";"33598700006";"335987";"6";"R Dravid";"1/11/1973";"Right-hand bat";"Right-arm offbreak";"India";"Captain";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"35";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12695";"33598700007";"335987";"7";"W Jaffer";"2/16/1978";"Right-hand bat";"Right-arm offbreak";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"30";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12696";"33598700008";"335987";"8";"V Kohli";"11/5/1988";"Right-hand bat";"Right-arm medium";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"20";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12697";"33598700009";"335987";"9";"JH Kallis";"10/16/1975";"Right-hand bat";"Right-arm fast-medium";"South Africa";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"33";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12698";"33598700010";"335987";"10";"CL White";"8/18/1983";"Right-hand bat";"Legbreak googly";"Australia";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"25";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12699";"33598700011";"335987";"11";"MV Boucher";"12/3/1976";"Right-hand bat";"Right-arm medium";"South Africa";"Keeper";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"32";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12700";"33598700012";"335987";"12";"B Akhil";"10/7/1977";"Right-hand bat";"Right-arm medium-fast";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"31";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12701";"33598700013";"335987";"13";"AA Noffke";"4/30/1977";"Right-hand bat";"Right-arm fast-medium";"Australia";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"31";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12702";"33598700014";"335987";"14";"P Kumar";"10/2/1986";"Right-hand bat";"Right-arm medium";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"22";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12703";"33598700015";"335987";"15";"Z Khan";"10/7/1978";"Right-hand bat";"Left-arm fast-medium";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"30";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12704";"33598700016";"335987";"16";"SB Joshi";"6/6/1970";"Left-hand bat";"Slow left-arm orthodox";"India";"Player";"Royal Challengers Bangalore";"Kolkata Knight Riders";"2008";"0";"38";"0";"";"";"R Dravid";"SC Ganguly";"MV Boucher";"WP Saha"
"12705";"33598700001";"335987";"1";"SC Ganguly";"7/8/1972";"Left-hand bat";"Right-arm medium";"India";"Captain";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"36";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12706";"33598700002";"335987";"2";"BB McCullum";"9/27/1981";"Right-hand bat";"Right-arm medium";"New Zealand";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"1";"27";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12707";"33598700003";"335987";"3";"RT Ponting";"12/19/1974";"Right-hand bat";"Right-arm medium";"Australia";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"34";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12708";"33598700004";"335987";"4";"DJ Hussey";"7/15/1977";"Right-hand bat";"Right-arm offbreak";"Australia";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"31";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12709";"33598700005";"335987";"5";"Mohammad Hafeez";"10/17/1980";"Right-hand bat";"Right-arm offbreak";"Pakistan";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"28";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12710";"33598700062";"335987";"62";"WP Saha";"10/24/1984";"Right-hand bat";"N/A";"India";"Keeper";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"24";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12711";"33598700063";"335987";"63";"LR Shukla";"5/6/1981";"Right-hand bat";"Right-arm medium";"India";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"27";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12712";"33598700082";"335987";"82";"AB Agarkar";"12/4/1977";"Right-hand bat";"Right-arm fast";"India";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"31";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12713";"33598700083";"335987";"83";"M Kartik";"9/11/1976";"Left-hand bat";"Slow left-arm orthodox";"India";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"32";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12714";"33598700084";"335987";"84";"I Sharma";"9/2/1988";"Right-hand bat";"Right-arm fast-medium";"India";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"20";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12715";"33598700106";"335987";"106";"AB Dinda";"3/25/1984";"Right-hand bat";"Right-arm medium-fast";"India";"Player";"Kolkata Knight Riders";"Royal Challengers Bangalore";"2008";"0";"24";"1";"";"";"SC Ganguly";"R Dravid";"WP Saha";"MV Boucher"
"12716";"33598800024";"335988";"24";"K Goel";"12/24/1986";"Left-hand bat";"Right-arm offbreak";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"22";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12717";"33598800025";"335988";"25";"JR Hopes";"10/24/1978";"Right-hand bat";"Right-arm medium";"Australia";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"30";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12718";"33598800026";"335988";"26";"KC Sangakkara";"10/27/1977";"Left-hand bat";"Right-arm offbreak";"Sri Lanka";"Keeper";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"31";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12719";"33598800027";"335988";"27";"Yuvraj Singh";"12/12/1981";"Left-hand bat";"Slow left-arm orthodox";"India";"Captain";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"27";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12720";"33598800028";"335988";"28";"SM Katich";"8/21/1975";"Left-hand bat";"Slow left-arm chinaman";"Australia";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"33";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12721";"33598800029";"335988";"29";"IK Pathan";"10/27/1984";"Left-hand bat";"Left-arm medium-fast";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"24";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12722";"33598800066";"335988";"66";"B Lee";"11/8/1976";"Right-hand bat";"Right-arm fast";"Australia";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"32";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12723";"33598800067";"335988";"67";"PP Chawla";"12/24/1988";"Left-hand bat";"Legbreak";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"20";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12724";"33598800068";"335988";"68";"WA Mota";"9/20/1981";"Right-hand bat";"Right-arm medium";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"27";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12725";"33598800077";"335988";"77";"S Sreesanth";"2/6/1983";"Right-hand bat";"Right-arm fast-medium";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"25";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12726";"33598800466";"335988";"466";"P Dharmani";"9/27/1974";"Right-hand bat";"N/A";"India";"Player";"Kings XI Punjab";"Chennai Super Kings";"2008";"0";"34";"0";"";"";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara";"MS Dhoni"
"12727";"33598800017";"335988";"17";"PA Patel";"3/9/1985";"Left-hand bat";"N/A";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"23";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12728";"33598800018";"335988";"18";"ML Hayden";"10/29/1971";"Left-hand bat";"Right-arm medium";"Australia";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"37";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12729";"33598800019";"335988";"19";"MEK Hussey";"5/27/1975";"Left-hand bat";"Right-arm medium";"Australia";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"1";"33";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12730";"33598800020";"335988";"20";"MS Dhoni";"7/7/1981";"Right-hand bat";"Right-arm medium";"India";"CaptainKeeper";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"27";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12731";"33598800021";"335988";"21";"SK Raina";"11/27/1986";"Left-hand bat";"Right-arm offbreak";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"22";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12732";"33598800022";"335988";"22";"JDP Oram";"7/28/1978";"Left-hand bat";"Right-arm fast-medium";"New Zealand";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"30";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12733";"33598800023";"335988";"23";"S Badrinath";"8/30/1980";"Right-hand bat";"Right-arm offbreak";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"28";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12734";"33598800119";"335988";"119";"Joginder Sharma";"10/23/1983";"Right-hand bat";"Right-arm fast-medium";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"25";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12735";"33598800120";"335988";"120";"MS Gony";"1/4/1984";"Right-hand bat";"Right-arm medium";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"24";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12736";"33598800121";"335988";"121";"M Muralitharan";"4/17/1972";"Right-hand bat";"Right-arm offbreak";"Sri Lanka";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"36";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12737";"33598800435";"335988";"435";"P Amarnath";"6/1/1982";"Right-hand bat";"Right-arm medium";"India";"Player";"Chennai Super Kings";"Kings XI Punjab";"2008";"0";"26";"1";"";"";"MS Dhoni";"Yuvraj Singh";"MS Dhoni";"KC Sangakkara"
"12738";"33598900040";"335989";"40";"G Gambhir";"10/14/1981";"Left-hand bat";"Legbreak";"India";"Player";"Delhi Daredevils";"Rajasthan Royals";"2008";"0";"27";"1";"";"";"V Sehwag";"SK Warne";"KD Karthik";"M Rawat"
"12739";"33598900041";"335989";"41";"V Sehwag";"10/20/1978";"Right-hand bat";"Right-arm offbreak";"India";"Captain";"Delhi Daredevils";"Rajasthan Royals";"2008";"0";"30";"1";"";"";"V Sehwag";"SK Warne";"KD Karthik";"M Rawat"
"12740";"33598900042";"335989";"42";"S Dhawan";"12/5/1985";"Left-hand bat";"Right-arm offbreak";"India";"Player";"Delhi Daredevils";"Rajasthan Royals";"2008";"0";"23";"1";"";"";"V Sehwag";"SK Warne";"KD Karthik";"M Rawat"
"12741";"33598900087";"335989";"87";"MK Tiwary";"11/14/1985";"Right-hand bat";"Legbreak googly";"India";"Player";"Delhi Daredevils";"Rajasthan Royals";"2008";"0";"23";"1";"";"";"V Sehwag";"SK Warne";"KD Karthik";"M Rawat"
